English,Portuguese,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,cycle.thisRepN,cycle.thisTrialN,cycle.thisN,cycle.thisIndex,study_period.thisRepN,study_period.thisTrialN,study_period.thisN,study_period.thisIndex,distractor_period.thisRepN,distractor_period.thisTrialN,distractor_period.thisN,distractor_period.thisIndex,test_period.thisRepN,test_period.thisTrialN,test_period.thisN,test_period.thisIndex,instruction_text.started,instruction_image.started,back_button.started,next_button.started,back_button.numClicks,back_button.timesOn,back_button.timesOff,next_button.numClicks,next_button.timesOn,next_button.timesOff,cue_study.started,target_study.started,debug1.started,math_prompt.started,math_problem.started,math_resp.started,math_line.started,factor1,factor2,product,distractor_response,teclas_pressionadas,teclas_pressionadas_tempo,distractor_resp_corr,prompt_msg.started,prompt_resp.started,cue_test.started,target_test.started,response_corr,condition,target_test.text,cue_test.stopped,target_test.stopped,thanks_msg.started,thanks_resp.started,session_duration,participant,session,date,expName,psychopyVersion,frameRate,
beer,cerveja,,,,,0,0,0,0,0,0,0,4,,,,,,,,,140.33757740000146,140.33757740000146,140.33757740000146,140.33757740000146,9,"[17.229387700004736, 0.35289349997765385, 0.2956682000076398, 0.20078889999422245, 5.391252900008112, 0.41439750001882203, 0.04887329999473877, 0.25006740001845174, 0.23010970000177622]","[17.229393499990692, 0.35290109997731633, 0.10021450000931509, 0.20079240002087317, 0.10840019999886863, 0.41440270000020973, 0.04887659999076277, 0.250071200018283, 0.23011350000160746]",12,"[0.34855870000319555, 0.184467000013683, 0.3086908000113908, 9.982423399982508, 14.425272399996174, 16.86432709998917, 11.965257299976656, 0.3779907999851275, 0.013003500003833324, 0.03377949999412522, 0.7994981000083499, 8.154934799997136]","[0.34856540002510883, 0.20683589999680407, 0.3086957999912556, 9.982427099981578, 14.425281300005736, 16.864331099990522, 11.965262099984102, 0.37799399998039007, 0.013007600005948916, 0.03378379999776371, 0.7995028000150342, 8.154938499996206]",148.6384829999879,148.6384829999879,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
cloud,nuvem,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,149.1186145999818,149.1186145999818,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
soul,alma,,,,,0,0,0,0,0,2,2,8,,,,,,,,,,,,,,,,,,,149.60394789997372,149.60394789997372,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
knee,joelho,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,150.09833639999852,150.09833639999852,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
food,comida,,,,,0,0,0,0,0,4,4,9,,,,,,,,,,,,,,,,,,,150.61792879999848,150.61792879999848,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
poison,veneno,,,,,0,0,0,0,0,5,5,7,,,,,,,,,,,,,,,,,,,151.09816470000078,151.09816470000078,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
egg,ovo,,,,,0,0,0,0,0,6,6,3,,,,,,,,,,,,,,,,,,,151.60393620000104,151.60393620000104,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
bucket,balde,,,,,0,0,0,0,0,7,7,6,,,,,,,,,,,,,,,,,,,152.09810689999722,152.09810689999722,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
broom,vassoura,,,,,0,0,0,0,0,8,8,5,,,,,,,,,,,,,,,,,,,152.60363019999932,152.60363019999932,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
dog,cachorro,,,,,0,0,0,0,0,9,9,0,,,,,,,,,,,,,,,,,,,153.0980375999934,153.0980375999934,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,153.63054289997672,153.63054289997672,154.09847749999608,154.09847749999608,154.09847749999608,11,3,33,,[],[],0,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
egg,ovo,,,,,0,0,0,0,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,158.6185532999807,158.6185532999807,188.41723589997855,188.41723589997855,0,STn,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
broom,vassoura,,,,,0,0,0,0,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,191.39651900000172,191.39651900000172,0,STn,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
knee,joelho,,,,,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,194.4005253999785,194.4005253999785,0,STn,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
beer,cerveja,,,,,0,0,0,0,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,197.39652689997456,197.39652689997456,0,STn,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
dog,cachorro,,,,,0,0,0,0,,,,,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,200.3959487999964,200.3959487999964,0,STn,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
bucket,balde,,,,,0,0,0,0,,,,,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,203.39579189999495,203.39579189999495,0,STn,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
soul,alma,,,,,0,0,0,0,,,,,,,,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,206.41643169999588,206.41643169999588,0,STn,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
poison,veneno,,,,,0,0,0,0,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,209.39545469998848,209.39545469998848,0,STn,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
food,comida,,,,,0,0,0,0,,,,,,,,,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,212.39959079999244,212.39959079999244,0,STn,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
cloud,nuvem,,,,,0,0,0,0,,,,,,,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,215.39887019997695,215.39887019997695,1,STn,nuvem,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
dog,cachorro,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,218.39529079999193,218.39529079999193,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
cloud,nuvem,,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,218.89874829998007,218.89874829998007,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
poison,veneno,,,,,1,0,1,0,0,2,2,7,,,,,,,,,,,,,,,,,,,219.39883329998702,219.39883329998702,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
beer,cerveja,,,,,1,0,1,0,0,3,3,4,,,,,,,,,,,,,,,,,,,219.89896520000184,219.89896520000184,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
egg,ovo,,,,,1,0,1,0,0,4,4,3,,,,,,,,,,,,,,,,,,,220.39883169997483,220.39883169997483,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
soul,alma,,,,,1,0,1,0,0,5,5,8,,,,,,,,,,,,,,,,,,,220.89500540000154,220.89500540000154,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
bucket,balde,,,,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,221.39501939999172,221.39501939999172,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
broom,vassoura,,,,,1,0,1,0,0,7,7,5,,,,,,,,,,,,,,,,,,,221.89843279999332,221.89843279999332,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
knee,joelho,,,,,1,0,1,0,0,8,8,2,,,,,,,,,,,,,,,,,,,222.39860419998877,222.39860419998877,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
food,comida,,,,,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,222.89909359999,222.89909359999,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
,,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,223.41433479997795,223.41433479997795,,,,13,6,78,,['space'],[190184.7380924],0,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
bucket,balde,,,,,1,0,1,0,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,223.41433479997795,223.41433479997795,234.14742029999616,234.14742029999616,1,STn,balde,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
egg,ovo,,,,,1,0,1,0,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,237.14793459998327,237.14793459998327,1,STn,ovo,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
poison,veneno,,,,,1,0,1,0,,,,,,,,,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,240.1480237999931,240.1480237999931,1,STn,veneno,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
dog,cachorro,,,,,1,0,1,0,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,243.14781659998698,243.14781659998698,0,STn,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
knee,joelho,,,,,1,0,1,0,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,246.1638681999757,246.1638681999757,0,STn,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
broom,vassoura,,,,,1,0,1,0,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,249.16519149998203,249.16519149998203,0,STn,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
soul,alma,,,,,1,0,1,0,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,252.14740379998693,252.14740379998693,0,STn,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
food,comida,,,,,1,0,1,0,,,,,,,,,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,255.14731319999555,255.14731319999555,0,STn,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
beer,cerveja,,,,,1,0,1,0,,,,,,,,,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,258.147227199981,258.147227199981,1,STn,cerveja,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
egg,ovo,,,,,2,0,2,0,0,0,0,3,,,,,,,,,,,,,,,,,,,261.16354409998166,261.16354409998166,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
dog,cachorro,,,,,2,0,2,0,0,1,1,0,,,,,,,,,,,,,,,,,,,261.6470165999781,261.6470165999781,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
broom,vassoura,,,,,2,0,2,0,0,2,2,5,,,,,,,,,,,,,,,,,,,262.15899259998696,262.15899259998696,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
soul,alma,,,,,2,0,2,0,0,3,3,8,,,,,,,,,,,,,,,,,,,262.6471694999782,262.6471694999782,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
poison,veneno,,,,,2,0,2,0,0,4,4,7,,,,,,,,,,,,,,,,,,,263.16274929998326,263.16274929998326,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
food,comida,,,,,2,0,2,0,0,5,5,9,,,,,,,,,,,,,,,,,,,263.66281609999714,263.66281609999714,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
cloud,nuvem,,,,,2,0,2,0,0,6,6,1,,,,,,,,,,,,,,,,,,,264.1472248999926,264.1472248999926,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
knee,joelho,,,,,2,0,2,0,0,7,7,2,,,,,,,,,,,,,,,,,,,264.6470421999984,264.6470421999984,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
beer,cerveja,,,,,2,0,2,0,0,8,8,4,,,,,,,,,,,,,,,,,,,265.1473456999811,265.1473456999811,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
bucket,balde,,,,,2,0,2,0,0,9,9,6,,,,,,,,,,,,,,,,,,,265.64698459999636,265.64698459999636,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
,,,,,,2,0,2,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,266.1627881999884,266.1627881999884,,,,3,8,24,,['space'],[190227.4894171],0,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
food,comida,,,,,2,0,2,0,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,266.1627881999884,266.1627881999884,273.2459576999827,273.2459576999827,0,STn,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
knee,joelho,,,,,2,0,2,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,276.24610649998067,276.24610649998067,0,STn,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
broom,vassoura,,,,,2,0,2,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,279.24843969999347,279.24843969999347,0,STn,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
dog,cachorro,,,,,2,0,2,0,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,282.2464298999985,282.2464298999985,1,STn,cachorro,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
soul,alma,,,,,2,0,2,0,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,285.2623334999953,285.2623334999953,1,STn,alma,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
cloud,nuvem,,,,,3,0,3,0,0,0,0,1,,,,,,,,,,,,,,,,,,,288.26158819999546,288.26158819999546,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
dog,cachorro,,,,,3,0,3,0,0,1,1,0,,,,,,,,,,,,,,,,,,,288.7464328999922,288.7464328999922,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
soul,alma,,,,,3,0,3,0,0,2,2,8,,,,,,,,,,,,,,,,,,,289.2615386999969,289.2615386999969,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
poison,veneno,,,,,3,0,3,0,0,3,3,7,,,,,,,,,,,,,,,,,,,289.7622076999978,289.7622076999978,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
bucket,balde,,,,,3,0,3,0,0,4,4,6,,,,,,,,,,,,,,,,,,,290.24611119998735,290.24611119998735,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
beer,cerveja,,,,,3,0,3,0,0,5,5,4,,,,,,,,,,,,,,,,,,,290.7616679999919,290.7616679999919,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
food,comida,,,,,3,0,3,0,0,6,6,9,,,,,,,,,,,,,,,,,,,291.2462422999961,291.2462422999961,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
egg,ovo,,,,,3,0,3,0,0,7,7,3,,,,,,,,,,,,,,,,,,,291.7461454999866,291.7461454999866,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
knee,joelho,,,,,3,0,3,0,0,8,8,2,,,,,,,,,,,,,,,,,,,292.2459857999929,292.2459857999929,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
broom,vassoura,,,,,3,0,3,0,0,9,9,5,,,,,,,,,,,,,,,,,,,292.7462553999794,292.7462553999794,,,,,,,,,,,,,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
,,,,,,3,0,3,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,293.2613696999906,293.2613696999906,,,,18,10,180,,['space'],[190254.5887238],0,,,,,,,,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
broom,vassoura,,,,,3,0,3,0,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,293.2613696999906,293.2613696999906,298.0447727999999,298.0447727999999,1,STn,vassoura,,,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
food,comida,,,,,3,0,3,0,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0285843999882,301.0285843999882,1,STn,comida,304.0298202999984,304.0298202999984,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
knee,joelho,,,,,3,0,3,0,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,304.0298202999984,304.0298202999984,0,STn,j,307.0279979999759,307.0279979999759,,,,kily,001,2023-01-21_21h24.57.289,karpicke_and_roediger,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.0279979999759,307.0279979999759,254.14962419998483,,,,,,,
