English,Portuguese,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,cycle.thisRepN,cycle.thisTrialN,cycle.thisN,cycle.thisIndex,study_period.thisRepN,study_period.thisTrialN,study_period.thisN,study_period.thisIndex,distractor_period.thisRepN,distractor_period.thisTrialN,distractor_period.thisN,distractor_period.thisIndex,test_period.thisRepN,test_period.thisTrialN,test_period.thisN,test_period.thisIndex,instruction_text.started,instruction_image.started,back_button.started,next_button.started,back_button.numClicks,back_button.timesOn,back_button.timesOff,next_button.numClicks,next_button.timesOn,next_button.timesOff,cue_study.started,target_study.started,debug1.started,math_prompt.started,math_problem.started,math_resp.started,math_line.started,factor1,factor2,product,distractor_response,teclas_pressionadas,teclas_pressionadas_tempo,distractor_resp_corr,prompt_msg.started,prompt_resp.started,cue_test.started,target_test.started,response_corr,target_test.text,cue_study.stopped,target_study.stopped,participant,session,date,expName,psychopyVersion,frameRate,
bucket,balde,,,,,0,0,0,0,0,0,0,6,,,,,,,,,35.459656999999424,35.459656999999424,35.459656999999424,35.459656999999424,0,,,5,"[5.4951294000056805, 0.38015789999917615, 0.1507689999998547, 0.678187400000752, 2.0607470000104513]","[0.04634209998766892, 0.00025599999935366213, 0.0438410000060685, 0.00017470000602770597, 2.0607529999979306]",37.58888300000399,37.58888300000399,,,,,,,,,,,,,,,,,,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
food,comida,,,,,0,0,0,0,0,1,1,9,,,,,,,,,,,,,,,,,,,37.75703780000913,37.75703780000913,,,,,,,,,,,,,,,,,,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
egg,ovo,,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,37.95708910000394,37.95708910000394,,,,,,,,,,,,,,,,,,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
broom,vassoura,,,,,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,,,,,,38.15682129999914,38.15682129999914,,,,,,,,,,,,,,,,,,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
poison,veneno,,,,,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,,,,,38.35781689999567,38.35781689999567,,,,,,,,,,,,,,,,,,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
beer,cerveja,,,,,0,0,0,0,0,5,5,4,,,,,,,,,,,,,,,,,,,38.5568423000077,38.5568423000077,,,,,,,,,,,,,,,,,,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
knee,joelho,,,,,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,,,,,38.744009100002586,38.744009100002586,,,,,,,,,,,,,,,,,,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
dog,cachorro,,,,,0,0,0,0,0,7,7,0,,,,,,,,,,,,,,,,,,,38.942640799999936,38.942640799999936,,,,,,,,,,,,,,,,,,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
cloud,nuvem,,,,,0,0,0,0,0,8,8,1,,,,,,,,,,,,,,,,,,,39.14328289999685,39.14328289999685,,,,,,,,,,,,,,,,,,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
soul,alma,,,,,0,0,0,0,0,9,9,8,,,,,,,,,,,,,,,,,,,39.3436698000005,39.3436698000005,,,,,,,,,,,,,,,,,,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,39.590120699998806,39.590120699998806,40.04199610000069,40.04199610000069,40.04199610000069,9,7,63,63,"['num_6', 'num_3', 'return']","[113291.471944, 113291.6375738, 113291.7970873]",1,,,,,,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
,,,,,,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,43.108869100004085,43.108869100004085,43.609337600006256,43.609337600006256,43.609337600006256,6,4,24,,[],[],0,,,,,,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
poison,veneno,,,,,0,0,0,0,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,44.55784599999606,44.55784599999606,45.99079320000601,45.99079320000601,1,veneno,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
cloud,nuvem,,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,52.97687169999699,52.97687169999699,0,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
soul,alma,,,,,0,0,0,0,,,,,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,59.98999190000177,59.98999190000177,0,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
beer,cerveja,,,,,0,0,0,0,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,66.9779503000027,66.9779503000027,1,cerveja,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
broom,vassoura,,,,,0,0,0,0,,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,73.97032279999985,73.97032279999985,1,vassoura,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
egg,ovo,,,,,0,0,0,0,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,80.97527700000501,80.97527700000501,1,ovo,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
food,comida,,,,,0,0,0,0,,,,,,,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,87.99289880000288,87.99289880000288,0,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
bucket,balde,,,,,0,0,0,0,,,,,,,,,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,95.04265540000051,95.04265540000051,0,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
dog,cachorro,,,,,0,0,0,0,,,,,,,,,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.96794080000836,101.96794080000836,1,cachorro,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
knee,joelho,,,,,0,0,0,0,,,,,,,,,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,108.98869870000635,108.98869870000635,0,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
beer,cerveja,,,,,1,0,1,0,0,0,0,4,,,,,,,,,,,,,,,,,,,115.98800009999832,115.98800009999832,,,,,,,,,,,,,,,,,,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
dog,cachorro,,,,,1,0,1,0,0,1,1,0,,,,,,,,,,,,,,,,,,,116.1871925000014,116.1871925000014,,,,,,,,,,,,,,,,,,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
knee,joelho,,,,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,116.3886521999957,116.3886521999957,,,,,,,,,,,,,,,,,,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
food,comida,,,,,1,0,1,0,0,3,3,9,,,,,,,,,,,,,,,,,,,116.567148800008,116.567148800008,,,,,,,,,,,,,,,,,,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
soul,alma,,,,,1,0,1,0,0,4,4,8,,,,,,,,,,,,,,,,,,,116.76721360000374,116.76721360000374,,,,,,,,,,,,,,,,,,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
egg,ovo,,,,,1,0,1,0,0,5,5,3,,,,,,,,,,,,,,,,,,,116.96842020000622,116.96842020000622,,,,,,,,,,,,,,,,,,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
bucket,balde,,,,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,117.16731830000936,117.16731830000936,,,,,,,,,,,,,,,,,,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
broom,vassoura,,,,,1,0,1,0,0,7,7,5,,,,,,,,,,,,,,,,,,,117.36707790000946,117.36707790000946,,,,,,,,,,,,,,,,,,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
poison,veneno,,,,,1,0,1,0,0,8,8,7,,,,,,,,,,,,,,,,,,,117.56692520000797,117.56692520000797,,,,,,,,,,,,,,,,,,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
cloud,nuvem,,,,,1,0,1,0,0,9,9,1,,,,,,,,,,,,,,,,,,,117.76709409999603,117.76709409999603,,,,,,,,,,,,,,,,,,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
,,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,118.00259699999879,118.00259699999879,,,,9,17,153,,['space'],[113366.6973625],0,,,,,,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
,,,,,,1,0,1,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,118.00259699999879,118.00259699999879,,,0,,,,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
egg,ovo,,,,,2,0,2,0,0,0,0,3,,,,,,,,,,,,,,,,,,,126.55363209999632,126.55363209999632,,,,,,,,,,,,,,,,,,,126.75348820000363,126.75348820000363,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
beer,cerveja,,,,,2,0,2,0,0,1,1,4,,,,,,,,,,,,,,,,,,,126.75348820000363,126.75348820000363,,,,,,,,,,,,,,,,,,,126.95334360000561,126.95334360000561,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
poison,veneno,,,,,2,0,2,0,0,2,2,7,,,,,,,,,,,,,,,,,,,126.95334360000561,126.95334360000561,,,,,,,,,,,,,,,,,,,127.1537599000003,127.1537599000003,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
knee,joelho,,,,,2,0,2,0,0,3,3,2,,,,,,,,,,,,,,,,,,,127.1537599000003,127.1537599000003,,,,,,,,,,,,,,,,,,,127.35349290000158,127.35349290000158,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
food,comida,,,,,2,0,2,0,0,4,4,9,,,,,,,,,,,,,,,,,,,127.35349290000158,127.35349290000158,,,,,,,,,,,,,,,,,,,127.55324750000727,127.55324750000727,david,001,2023-01-28_15h58.28.231,aula_047,2022.2.1,59.783297504313516,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.55324750000727,127.55324750000727,,,,,,,,,,,,,,,,,,,,,,,,,,,
