current_span,letter_instructions.thisRepN,letter_instructions.thisTrialN,letter_instructions.thisN,letter_instructions.thisIndex,letter_practice_trials.thisRepN,letter_practice_trials.thisTrialN,letter_practice_trials.thisN,letter_practice_trials.thisIndex,letter_practice.thisRepN,letter_practice.thisTrialN,letter_practice.thisN,letter_practice.thisIndex,math_instructions.thisRepN,math_instructions.thisTrialN,math_instructions.thisN,math_instructions.thisIndex,math_practice_trials.thisRepN,math_practice_trials.thisTrialN,math_practice_trials.thisN,math_practice_trials.thisIndex,ospan_training_instructions.thisRepN,ospan_training_instructions.thisTrialN,ospan_training_instructions.thisN,ospan_training_instructions.thisIndex,ospan_training_trials.thisRepN,ospan_training_trials.thisTrialN,ospan_training_trials.thisN,ospan_training_trials.thisIndex,ospan_training_trial.thisRepN,ospan_training_trial.thisTrialN,ospan_training_trial.thisN,ospan_training_trial.thisIndex,ospan_testing_instructions.thisRepN,ospan_testing_instructions.thisTrialN,ospan_testing_instructions.thisN,ospan_testing_instructions.thisIndex,ospan_testing_trials.thisRepN,ospan_testing_trials.thisTrialN,ospan_testing_trials.thisN,ospan_testing_trials.thisIndex,ospan_testing_trial.thisRepN,ospan_testing_trial.thisTrialN,ospan_testing_trial.thisN,ospan_testing_trial.thisIndex,welcome_msg.started,welcome_next.started,welcome_resp.started,participant_code,instr_msg.started,previous.started,next.started,instr_resp.started,to_be_remembered.started,prompt_recall.started,F.started,H.started,J.started,K.started,L.started,N.started,P.started,Q.started,R.started,S.started,T.started,Y.started,clear_.started,blank.started,send.started,recall_response.started,response_recall.started,correct_response,participant_response,full_credit_score,partial_credit_score,edit_distance_score,task_phase,math_trials_correct,math_total_trials,math_percent_correct,recall_response.x,recall_response.y,recall_response.leftButton,recall_response.midButton,recall_response.rightButton,recall_response.time,recall_response.clicked_name,recall_feedback_prompt.started,math_feedback_prompt.started,math_feedback_performance.started,recall_feedback_prompt.stopped,math_feedback_prompt.stopped,math_feedback_performance.stopped,to_be_remembered.stopped,math_problem.started,math_prompt.started,continue_.started,math_problem_next.started,math_problem,math_correct_response,math_problem_response,problem_rt,math_answer_screen.started,true.started,false.started,math_response.started,answer_rt,math_speed_error,math_accuracy_error,math_participant_corr,math_participant_response,math_answer_screen_feedback.started,true_feedback.started,false_feedback.started,math_corrective_feedback_msg.started,math_answer_screen_feedback.stopped,true_feedback.stopped,false_feedback.stopped,math_corrective_feedback_msg.stopped,math_errors,ID,Nome Completo,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.5161707000807,466.5161707000807,0.03864229982718825,479506908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479506908,Relâmpago Marquin,2024-10-11_10h44.28.922,ospan,2022.2.1,None,
2,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479506908,480.7292867000215,480.7292867000215,480.7292867000215,0.013330399990081787,481.32191519998014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479506908,Relâmpago Marquin,2024-10-11_10h44.28.922,ospan,2022.2.1,None,
2,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.0968276001513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479506908,Relâmpago Marquin,2024-10-11_10h44.28.922,ospan,2022.2.1,None,
2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.9511027999688,482.9511027999688,482.9511027999688,482.9511027999688,482.9511027999688,482.9511027999688,482.9511027999688,482.9511027999688,482.9511027999688,482.9511027999688,482.9511027999688,482.9511027999688,482.9511027999688,482.9511027999688,482.9511027999688,482.9511027999688,0.03027899982407689,482.9511027999688,HF,HF,2,2,2,letter_practice_phase,0,0,0,"[-0.0022222222222222222, -0.4488888888888889, 0.6]","[0.6133333333333333, 0.5, -0.8]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[3.439853300107643, 7.306109800003469, 22.467601400101557]","['H', 'F', 'send']",505.40964670013636,505.40964670013636,505.40964670013636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479506908,Relâmpago Marquin,2024-10-11_10h44.28.922,ospan,2022.2.1,None,
2,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.41458840016276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479506908,Relâmpago Marquin,2024-10-11_10h44.28.922,ospan,2022.2.1,None,
2,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.21333040017635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479506908,Relâmpago Marquin,2024-10-11_10h44.28.922,ospan,2022.2.1,None,
2,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.04455650015734,509.04455650015734,509.04455650015734,509.04455650015734,509.04455650015734,509.04455650015734,509.04455650015734,509.04455650015734,509.04455650015734,509.04455650015734,509.04455650015734,509.04455650015734,509.04455650015734,509.04455650015734,509.04455650015734,509.04455650015734,0.03486629971303046,509.04455650015734,FL,LF,0,0,1,letter_practice_phase,0,0,0,"[0.04666666666666667, -0.4911111111111111, 0.5711111111111111]","[0.25666666666666665, 0.49, -0.7933333333333333]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[2.765604400075972, 3.466563900001347, 7.344332600012422]","['L', 'F', 'send']",516.3762946999632,516.3762946999632,516.3762946999632,518.3767980001867,518.3767980001867,518.3767980001867,,,,,,,,,,,,,,,,,,,,,,,,,,,,479506908,Relâmpago Marquin,2024-10-11_10h44.28.922,ospan,2022.2.1,None,
2,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.3767980001867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.176700900076,,,,,,,,,,,,,,,,,,,,,,,,,,,479506908,Relâmpago Marquin,2024-10-11_10h44.28.922,ospan,2022.2.1,None,
2,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.176700900076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.9954624001402,,,,,,,,,,,,,,,,,,,,,,,,,,,479506908,Relâmpago Marquin,2024-10-11_10h44.28.922,ospan,2022.2.1,None,
2,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.9954624001402,519.9954624001402,519.9954624001402,519.9954624001402,519.9954624001402,519.9954624001402,519.9954624001402,519.9954624001402,519.9954624001402,519.9954624001402,519.9954624001402,519.9954624001402,519.9954624001402,519.9954624001402,519.9954624001402,519.9954624001402,0.012571800034493208,519.9954624001402,NY,–Y,0,1,1,letter_practice_phase,0,0,0,"[-0.0022222222222222222, 0.46444444444444444, 0.5244444444444445]","[-0.8133333333333334, -0.4066666666666667, -0.79]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9.173011200036854, 11.538479699986055, 20.45212009991519]","['blank', 'Y', 'send']",540.4601871001069,540.4601871001069,540.4601871001069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479506908,Relâmpago Marquin,2024-10-11_10h44.28.922,ospan,2022.2.1,None,
,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,479506908,556.9732552999631,556.9732552999631,556.9732552999631,0.017754399916157126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.2262566001154,558.2262566001154,558.2262566001154,0.011883900035172701,(4 × 2) + 1 = ?,yes,9,5.9651405001059175,564.1735829000827,564.1735829000827,564.1735829000827,0.003312299959361553,3.5343677999917418,0,0,1,yes,567.7263333001174,567.7263333001174,567.7263333001174,567.7263333001174,,,,,,479506908,Relâmpago Marquin,2024-10-11_10h44.28.922,ospan,2022.2.1,None,
,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.7259218001273,568.7259218001273,568.7259218001273,0.016223000129684806,(4 × 2) + 1 = ?,yes,9,4.102044800063595,572.825767399976,572.825767399976,572.825767399976,4.840013571083546e-05,0.915511199971661,0,0,1,yes,573.7432244000956,573.7432244000956,573.7432244000956,573.7432244000956,574.7417611000128,574.7417611000128,574.7417611000128,574.7417611000128,,479506908,Relâmpago Marquin,2024-10-11_10h44.28.922,ospan,2022.2.1,None,
,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.7417611000128,574.7417611000128,574.7417611000128,0.002450200030580163,(4 × 2) – 1 = ?,yes,7,3.783203300088644,578.5256495000795,578.5256495000795,578.5256495000795,0.0049368999898433685,4.216166999889538,0,1,0,no,582.7412458001636,582.7412458001636,582.7412458001636,582.7412458001636,583.7411856001709,583.7411856001709,583.7411856001709,583.7411856001709,,479506908,Relâmpago Marquin,2024-10-11_10h44.28.922,ospan,2022.2.1,None,
,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.7411856001709,583.7411856001709,583.7411856001709,0.002363499952480197,(3 × 2) + 2 = ?,yes,8,4.166821799939498,587.9083070000634,587.9083070000634,587.9083070000634,0.0032748000230640173,1.4500293000601232,0,1,0,no,589.3576877999585,589.3576877999585,589.3576877999585,589.3576877999585,590.3579806000926,590.3579806000926,590.3579806000926,590.3579806000926,,479506908,Relâmpago Marquin,2024-10-11_10h44.28.922,ospan,2022.2.1,None,
,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.3579806000926,590.3579806000926,590.3579806000926,0.00647170003503561,(6 / 3) + 1 = ?,no,4,3.0824921000748873,593.440584700089,593.440584700089,593.440584700089,0.0015698999632149935,0.7671534998808056,0,1,0,yes,594.207613900071,594.207613900071,594.207613900071,594.207613900071,595.2073621000163,595.2073621000163,595.2073621000163,595.2073621000163,,479506908,Relâmpago Marquin,2024-10-11_10h44.28.922,ospan,2022.2.1,None,
,,,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595.2073621000163,595.2073621000163,595.2073621000163,0.0014510001055896282,(6 / 2) – 1 = ?,yes,2,8.566810900112614,603.7737841999624,603.7737841999624,603.7737841999624,0.0015853999648243189,0.6516559000592679,0,0,1,yes,604.4236606999766,604.4236606999766,604.4236606999766,604.4236606999766,605.4234140999615,605.4234140999615,605.4234140999615,605.4234140999615,,479506908,Relâmpago Marquin,2024-10-11_10h44.28.922,ospan,2022.2.1,None,
,,,,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.4234140999615,605.4234140999615,605.4234140999615,0.003929600119590759,(5 × 2) – 2 = ?,yes,8,6.183817400131375,611.6067052001599,611.6067052001599,611.6067052001599,0.001798100071027875,0.6001069000922143,0,0,1,yes,612.206098300172,612.206098300172,612.206098300172,612.206098300172,613.2062687000725,613.2062687000725,613.2062687000725,613.2062687000725,,479506908,Relâmpago Marquin,2024-10-11_10h44.28.922,ospan,2022.2.1,None,
,,,,,,,,,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613.2062687000725,613.2062687000725,613.2062687000725,0.0014998000115156174,(6 / 2) + 2 = ?,no,3,10.333561500068754,623.5395107001532,623.5395107001532,623.5395107001532,0.001512099988758564,1.248848699964583,0,0,1,no,624.7895796000957,624.7895796000957,624.7895796000957,624.7895796000957,625.7894063000567,625.7894063000567,625.7894063000567,625.7894063000567,,479506908,Relâmpago Marquin,2024-10-11_10h44.28.922,ospan,2022.2.1,None,
,,,,,,,,,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625.7894063000567,625.7894063000567,625.7894063000567,0.0023067998699843884,(9 / 3) + 1 = ?,yes,4,3.1167140998877585,628.90552450018,628.90552450018,628.90552450018,0.001998899970203638,0.6337210000492632,0,0,1,yes,629.5388474001084,629.5388474001084,629.5388474001084,629.5388474001084,,,,,,479506908,Relâmpago Marquin,2024-10-11_10h44.28.922,ospan,2022.2.1,None,
,,,,,,,,,,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630.5387878001202,630.5387878001202,630.5387878001202,0.002646600129082799,(4 × 2) + 2 = ?,no,9,3.632881599944085,634.1722242000978,634.1722242000978,634.1722242000978,0.0016418998129665852,0.8163987000007182,0,0,1,no,634.9891717999708,634.9891717999708,634.9891717999708,634.9891717999708,635.9895530000795,635.9895530000795,635.9895530000795,635.9895530000795,,479506908,Relâmpago Marquin,2024-10-11_10h44.28.922,ospan,2022.2.1,None,
,,,,,,,,,,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.9895530000795,635.9895530000795,635.9895530000795,0.0043889000080525875,(3 × 2) + 1 = ?,yes,7,1.9986801999621093,637.9885329001117,637.9885329001117,637.9885329001117,0.0016616999637335539,0.533807700034231,0,0,1,yes,638.5222758001182,638.5222758001182,638.5222758001182,638.5222758001182,639.5226565001067,639.5226565001067,639.5226565001067,639.5226565001067,,479506908,Relâmpago Marquin,2024-10-11_10h44.28.922,ospan,2022.2.1,None,
